Tweet,Label
"Siaran itu... 
Jan lupa pake masker klo lagi banyak org dalam Studio, physical distancing juga. Tp klo dah sendiri, boleh lepas masker.... <U+0001F601><U+0001F601> @ Studio Radio Rewako Fm https://t.co/hrmX1Ho2Xn",1
"PHYSICAL DISTANCING BUKAN HALANGAN UNTUK TETAP BERIKAN PELAYANAN TERBAIK
#BPJSMelayani
#bpjscegahcorona
https://t.co/WiUH9hVINE",1
"ternyata kamu visioner yah, udah physical distancing dari dulu",1
"Tetap terapkan Physical distancing dan selalu jaga kebersihan tangan

#bersamalawancovid19 #antihoax #salamtribrata #polisi #polisibagus #polisibaik #PolisiHumanis #polisi_andalan #polisiindonesia #poldasulsel #kapoldasulsel #humaspolri #tribratanews #SDMPolri https://t.co/mmTSo1xWEa",1
Justru itu physical distancing paling ampuh hyunq,1
@starsforskz Ngajarkan tentang physical distancing sejak dini<U+0001F44D><U+0001F44D><U+0001F44D>cocok buat orang yang lagi bermesraan di keadaan kayak gini,1
"JANGAN LUPA PHYSICAL DISTANCING SOBAT POLRI
.
Dengan menjaga jarak tentu akan mengurangi penyebaran Covid-19
.
.
#poldadiy #poldajogja https://t.co/RQeGTrc7zx",1
#Infografis Pandemi virus Corona menyebabkan pemantauan hilal Ramadhan 2020 berbeda dibanding yang biasa dilakukan. Kemenag menetapkan prosedur dengan mempertimbangkan physical distancing. Berikut prosedurnya! #Hilal #Ramadhan2020 https://t.co/xzZTQelqkz,1
"Physical Distancing Bukan Halangan untuk Tetap Berikan Pelayanan Terbaik

#BPJSMelayani
#BPJSCegahCorona
 https://t.co/Jloa0gUMuy",1
"Penutupan Jalur Kawasan Tertib Physical distancing Jalan Yos sudarso

#PolriCegahCorona #PolriBantuCegahCorona #PolriUntukIndonesiaÃƒâ€šÃ‚Â  #dirumahaja
#priyowidyanto
joeni43
ntmc_polri @PolantasID @indo_polÃƒÂ¢Ã¢â€šÂ¬Ã‚Â¦ https://t.co/K9AoewynWN",1
"@saylalala__ Selamat pagi, Terima kasih telah tertib  physical distancing, tetap ikuti arahan petugas ya demi kesehatan bersama, tks.",1
Lagi physical distancing mba. Masa mendem E adoh2an kaya Lagi tukaran?,0
@yolandwio Apakah saya stay at home dan physical distancing ada gunanya kalo kyk bgini<U+0001F62D>,0
"Karena di kota tempat dia biasanya bekerja, saat ini tidak bekerja. Jika tidak bekerja, bakal banyak orang dong di tempat dia tinggal, bayangin misal kosan ukuran 3ÃƒÆ’Ã¢â‚¬â€3 diisi lebih dari 3 orang, kan gk bagus juga karena lagi nerapin physical distancing.",0
"@tempodotco @yunartowijaya Tempo harusnya lebih pintar dikit. Kartu Prakerja dicanangkan untuk membantu orang2 yg blm kerja untuk mengupgrade dirinya. Itu diusulkan tahun lalu, dan mulanya berupa pelatihan langsung. Ketika covid muncul, dicari cara pelatihan yg masih mendukung physical distancing",0
"@rwonsix ini buat di jombor ndol,, petik mangga versi physical distancing",0
@mastketeers @chenljae_m @starfess Iya lightstick doang soalnya kan physical distancing,0
"@SatpolPP_DKI  mau beri info kalau daerah danau sunter jakarta utara itu ramai sekali dan tidak ada yang melakukan physical distancing , harap untuk ditindak lanjuti",0
physical distancing seumur hidup,0
"@ipullevan2 Lebaran masih jauh itu covid depan mata mengabaikan physical distancing, ikut prihatin lanjut karantina mandiri 14 hari!",0
physical distancing sejak 2019 dah kayak musuhan bos??? https://t.co/Mo0eT761Bq,0
"Salurkan Bantuan untuk DKM, Wali Kota Cirebon Minta Masyarakat Lebih Disiplin PhysicalÃƒâ€šÃ‚Â Distancing https://t.co/tnIuZV7Bvt https://t.co/fYdaPluxRr",0
Gimana bisa dapet physical touch kalo physical distancing hiks <U+0001F494> https://t.co/AAUkTUd693,0
"Tak banyak daerah yang bisa konsisten menerapkan physical distancing. Yang sy liat maaah banyak yang ngeyel, belum lagi tekanan ekonomi. Situasi yang sulit diperparah lagi oleh para provokator yg liat kesempatan.

#SayaPercayaJokowi sudah benar menetapkan kebijakan dlm wabah. <U+0001F64F> https://t.co/IlF6oE3G7i",0
"Ngelihat pendaftaran fully funded international campus tour kek bikin ngiler banget, tapi ngigat corona dan physical distancing keknya ga bakal tertarik utk saat ini <U+0001F644>",0
@vibraniumfarmer gabole deket deket lagi physical distancing,0
"ada ijin resmi kepolisian kah?
lalu kumpul orang/galang masa bukankah langgar perda otoritas sipil setempat terkait transisi psbb n physical distancing ? <U+0001F64A> https://t.co/iyAmSV1QY9",0
"Pantesan enteng, wadahnya dikasih spasi, ikutan physical distancing. https://t.co/U3dMNdPWhL",0
gak boleh Lagi physical distancing,0
"Pulang kerja pala langsung pusing bgt <U+0001F915>

Biasanya cuma emosi gegara macet yg dibuat sama org2 dablek (makan jalur berlawanan, akhirnya deadlock), sekarang ditambah ngeliatin org bnyk yg kgk pake masker &amp; kgk nerapin physical distancing. Pen gue tabrak-tabrakin rasanya <U+0001F923><U+0001F923>",0
@mrylil Kan social distancing bukan physical distancing :)),0
"@gustavrizal Pernah ngelingne harus physical distancing, tidak dapat apa-apa wkwkw",0
apa ngga bisa mendoakan dari rumah? apa pembuktian cinta dg beliau harus dengan datang beramai2 disaat kita semua harus physical distancing?,0
aslii aku speechless sih. kita memang harus social and physical distancing tapi jangan sampai kita lupa kalau kita harus ÃƒÂ¢Ã¢â€šÂ¬Ã…â€œmemanusiakanÃƒÂ¢Ã¢â€šÂ¬Ã‚Â manusia lain. jangan over waspada sampai akhirnya jadi menyakiti orang lain..,0
"g blh, physical distancing",0
@takbaar @fauzanFAL @kunti_gani @ratjunn nyatanya pesawat lain sudah menerapkan sejak bulan Maret GI &amp; Citilink. Batik baru announce 2 days ago. Lion ntahlah maskapai LC. kalo masnya berkaca dari pengalaman terbang mas sendiri &amp; dibanding skg ya bisa dibilang sudah menerapkan physical distancing kan?,0
"@missabrhm Wkkww iyaa kak, dormnya bangtan kan bisa itu ngumpul sambil physical distancing saking luasnya <U+0001F602>",0
@itsdanielK_ Tapi kan lagi physical distancing Oppa. :(,0
"@nengbiker @Boolixious Itu physical distancing wkwkwk... Kalo weekend dijamin gak macet lagi, tapi parkir di jalan <U+0001F602><U+0001F602>",0
"Wah gilaaa, baru liat. Penjelasannya keren pisan @JeromePolin. Animasi perubahan jumlah kasus bdsarkan var R dan P-nya bikin makin kebayang sengaruh apa physical distancing dan kedisiplinan (pke masker, cuci tgn dll) thd jumlah kasus. Cek lah biar cerah <U+0001F609> https://t.co/5YtQ2zHuSW",0
"Bandara Soetta Abaikan Physical Distancing, 
Ombudsman RI Meradang
 https://t.co/bNPEVOcZmq",0
@deanisahasanah huuh semoga physical distancing cepat berlalu yaa deee jdi kta bisa kepantai ngegalau lgi mendengar deburan ombak wkwk,0
"@EkaJepp Kalau liat rekaman video yg lebih lengkap ini, justru Habib yg lebih dulu minta maaf.
Utk statement Pak Moeldoko, smg berlaku juga pd pelanggar physical distancing saat Konser Berbagi Kasih Melawan Corona, Menkumham yg WA-an dgn narapidana, dll.
https://t.co/6ZtbNb5lqb",0
"@trendingtopiq yaiyalah... new normal pun nantinya ada protokol kesehatan juga. Kalo nti kena corona ya, salahnya dia sendiri. Sapa suruh keluar2 gapake masker / physical distancing? Coba belajar jgn dikit2 nyalahin pemerintah dong krn pengambilan keputusan itu ga segampang milih baju<U+0001F642>",0
"Padahal kemaren lusa merasa gak punya waktu luang, hidup kok berat banget, mau yutuban aja gak tenang. Eh besoknya malah merasa gabut. Begini kehidupan mahasiswa labil di tengah physical distancing",0
"@alexis_pompink Yoi.
Antara ""Akhirnyaa yes"" sama ""Bagaimana ini? Ketemu orang banyak (aaa!) Physical distancing please (aaa!)""
<U+0001F483>",0
physical distancing dah ama gue,0
"@gendissw @oxscarlet_ @KenWatchaporn @tubbirfess tapi call out ini pun terkadang dipertanyakan, emang siapa aja sih yang boleh melakukannya apa terbatas pada mereka yang disebut ""woke"" stand 24/7 on Twitter? 

sangat disayangkan masih ada masyarakat yang tidak mau melakukan physical distancing, sejujurnya itu menyedihkan...",0
Gaboleh beb physical distancing,0
"@WulanJjavanese Ngga tuh, bahkan mereka ikutan physical distancing <U+0001F602> jarang bersentuhan <U+0001F602>",0
"sedikit info.. ketemu Ahmad Dhani n fams di Ikea Sentul.. oh ini yg namanya starstruck..... #HEHE mau mendekat tp kan physical distancing tapi si pakde orang rumah dah sibuk milih, doi duduk2 aje tiap liat kursi",0
"@geloraco Kerumunan dilarang,  katanya physical distancing, katanya di rumah aja,  katanya kumaha?",0
"2 minggu cek out olshop 7 barang, dari barang pokok ampe kaga penting kebeli juga, physical distancing ges a.k.a mager",0
"@mbuhwiskesel Iya siii keadaan kayak sekarang yaa. Kalo aku ros, selama orang orang masih maskeran dan kegiatan ada di outdoor, transmisi droplet jadi kecil banget kok(sumber dr Vox). Plus, biasanya ada physical distancing nya juga meskipun dikit wkwk",0
Gimana ngasi tau orang tua buat physical distancing sih. Sebel bet liat mama papa masih selooooww amat hidupnya lah aku di perantauan malah jadi panik dan emosi liat mereka hadeeuuuuhhh,0
@JOHJNNYSUH @ddlbtalk Uda tau lagi physical distancing ngajakin silaturahmi kelamin...  Masa kita ngewe pake APD lengkap dengan masker dan sarung tangan <U+0001F602><U+0001F602><U+0001F602><U+0001F602>,0
"Gua capek-capek lockdown, social distancing, physical distancing, teman-teman gua malah party. Kan amjiinck",0
"@Djanc0k1 Bukan muhrim, megang sasa denda 700 rb, buat biaya tes korona, salah siapa ga nurut physical distancing huff",0
"@egiyangbaru @Sarahdheea @trivenaw Mon maap ni ya di cilegon mau buka cabang kedua<U+263A><U+FE0F> 
Tapi sama ajaaa physical distancing",0
@Humastrobkskota Gak ah....kita ikutin konser 6 milyar yg abai physical distancing,0
konser tp tetep physical distancing (?) <U+0001F62D> https://t.co/MXQyn1OSvK,0
